time,tau_pv_full,tau_pv_red,tau_spts_full,tau_spts_red
0.0,699.6321628502105,699.7123528509281,3.2861318120282204,3.284798821710002
1e-12,699.5954869958598,699.6756734205941,3.2330293132041823,3.2317178541349305
1.0190865996862289e-12,699.5949612464267,699.675147619862,3.2861315936775,3.2847986034639054
1.03853749766004e-12,699.594603018826,699.6747893573588,3.281963727901618,3.2764445778989453
1.0583596471370194e-12,699.5942379542835,699.6744242572313,3.2819637257669845,3.280632425463857
1.0785601340459822e-12,699.5938659222577,699.6740521889237,3.250790500871461,3.253520276830548
1.099146179562043e-12,699.5934867897852,699.6736730195132,3.3170011046248913,3.3156555981015674
1.1201251426879916e-12,699.5931004214555,699.6732866135083,3.315758117314579,3.314413114768387
1.141504522884962e-12,699.5927066790331,699.6728928327609,3.2902774292252346,3.288942758038573
1.163291962753287e-12,699.5923054218945,699.672491536522,3.258371506989627,3.2570497724782617
1.1854952507645663e-12,699.5918965066353,699.6720825813713,3.3106213766917993,3.282718228731304
1.208122324045835e-12,699.5914797870303,699.671665821166,3.3136395181041536,3.3122953745584383
1.2311812712168995e-12,699.591055114176,699.6712411069532,3.282844048053475,3.2815123908146533
1.2546803352817987e-12,699.5906223362975,699.6708082868528,3.31151531112796,3.310172028856883
1.278627916575506e-12,699.5901812987034,699.6703672062768,3.282844042939764,3.281512385703402
1.3030325757668195e-12,699.589731843779,699.6699177075704,3.311515305778974,3.3101720235104684
1.3279030369185964e-12,699.5892738108839,699.6694596300351,3.299438489772612,3.2981001041460116
1.3532481906063947e-12,699.5888070363044,699.6689928099564,3.2849229414052066,3.2835904412559955
1.3790770970966126e-12,699.5883313532602,699.6685170805385,3.269587181742819,3.2682608996715903
1.4053989895853422e-12,699.5878465916817,699.668032271733,3.254308224061992,3.2529881370758593
1.432223277498988e-12,699.5873525783495,699.6675382102301,3.2840503484687575,3.2827182021229793
1.4595595498579158e-12,699.5868491367028,699.667034719515,3.2728349898438998,3.271507390905167
1.4874175787042662e-12,699.5863360867928,699.6665216196286,3.2431122606434,3.241796713255049
1.5158073225952543e-12,699.5858132452863,699.6659987271763,3.254308212470021,3.2529881254894417
1.5447389301630844e-12,699.5852804253298,699.6654658552712,3.282844014258936,3.268260882040781
1.5742227437428406e-12,699.5847374364798,699.6649228135104,3.2861315336662944,3.284798543481467
1.6042693030696236e-12,699.5841840847003,699.6643694078015,3.256342527002291,3.2682608757051814
1.6348893490462189e-12,699.5836201721964,699.6638054403192,3.2728349711195515,3.2715073721898227
1.6660938275827432e-12,699.5830454974603,699.6632307095825,3.286131523734849,3.284798533554775
1.697893893509512e-12,699.5824598551296,699.6626450101726,3.2707789093026522,3.269452144031547
1.7303009145646276e-12,699.5818630358727,699.662048132754,3.284922900690118,3.283590400560418
1.7633264754576384e-12,699.5812548264057,699.6614398640176,3.28492289712394,3.2835903969959346
1.796982382010827e-12,699.5806350093827,699.6608199865768,3.2695871372453915,3.2682608551954746
1.8312806653794737e-12,699.5800033632752,699.6601882789167,3.2869962956670276,3.285662954856855
1.86623358635271e-12,699.5793596623836,699.6595445152849,3.272834946413155,3.271507347495271
1.9018536397364194e-12,699.5787036766421,699.6588884656098,3.2861314982487557,3.2847985080809114
1.938153558819866e-12,699.578035171642,699.6582198954615,3.2849228782456437,3.2835903781266924
1.9751463199275007e-12,699.5773539084656,699.657538565886,3.27283493478185,3.271507335869547
2.012845147057685e-12,699.5766596436473,699.6568442333953,3.271640921222149,3.2703138064390203
2.0512635166099518e-12,699.5759521290811,699.6561366498862,3.284922866031706,3.2835903659186183
2.090415162202452e-12,699.5752311119553,699.6554155624867,3.2840502774520903,3.282718131140367
2.130314079581433e-12,699.5744963345877,699.6546807135052,3.2861314735517766,3.2847984833957593
2.1709745316243412e-12,699.5737475344217,699.6539318403526,3.283748563593047,3.282416539615325
2.2124110534384622e-12,699.5729844438551,699.6531686754156,3.2660427978413353,3.2647179528973895
2.25463845755683e-12,699.572206790173,699.6523909459532,3.284050259732958,3.282718113429721
2.297671839233394e-12,699.5714142955052,699.6515983740499,3.299132417874573,3.2977941563554873
2.3415265818391625e-12,699.5706066766788,699.6507906765087,3.2704807781673635,3.2691541337826737
2.3862183623613905e-12,699.5697836450619,699.6499675646726,3.2738608701567187,3.272532855268513
2.431763157007721e-12,699.5689449065625,699.6491287444316,3.2991324032063534,3.297794141694261
2.4781772469172476e-12,699.5680901614758,699.6482739160434,3.2837485304560534,3.282416506494222
2.5254772239806775e-12,699.567219104352,699.6474027740168,3.25620799198635,3.2548871347171517
2.5736799967714854e-12,699.5663314239418,699.6465150070997,3.285829146558732,3.2844962789881236
2.622802796590328e-12,699.5654268030571,699.6456102980424,3.3012328286010275,3.2998937154543913
2.6728631836247693e-12,699.5645049184392,699.6446883235676,3.2784480851355298,3.277118210304463
2.7238790532266746e-12,699.5635654406569,699.6437487542395,3.279181248260666,3.277851076159941
2.775868642309316e-12,699.562608034055,699.6427912543203,3.2861314037661136,3.284798413643564
2.8288505358666413e-12,699.5616323565275,699.6418154816937,3.2760771458374465,3.2747482323349297
2.882843673616902e-12,699.5606380593972,699.6408210876752,3.2648735053385307,3.263549134506521
2.937867356773205e-12,699.5596247874411,699.6398077169528,3.278147892771073,3.2768181396588565
2.9939412549431744e-12,699.5585921785903,699.6387750074596,3.2784480506692586,3.2771181758547128
3.05108541316036e-12,699.5575398638797,699.6377225901979,3.280213174252203,3.2788825837470483
3.1093202590498572e-12,699.556467467319,699.6366500891152,3.2861313677193498,3.284798377614073
